Account,NumberOfTotalCharactersMean, NumberOfTotalCharactersStd, NumberOfUppercaseCharactersMean,NumberOfUppercaseCharactersStd, NumberOfLowercaseCharactersMean,NumberOfLowercaseCharactersStd, NumberOfSpecialCharactersMean, NumberOfSpecialCharactersStd, NumberOfNumbersMean, NumberOfNumbersStd, NumberOfBlanksMean, NumberOfBlanksStd, NumberOfWordsMean, NumberOfWordsStd, AverageLengthOfWordsMean,AverageLengthOfWordsStd, NumberOfPropositionsMean, NumberOfPropositionsStd, AverageLengthOfPropositionsMean,AverageLengthOfPropositionsStd, NumberOfPunctuationCharactersMean, NumberOfPunctuationCharactersStd, NumberOfLowercaseWordsMean, NumberOfLowercaseWordsStd, NumberOfUppercaseWordsMean,NumberOfUppercaseWordsStd, VocabularyRichnessMean, VocabularyRichnessStd, FleschKincaidGradeLevelMean, FleschKincaidGradeLevelStd, FleschReadingEaseMean,FleschReadingEaseStd, DaleChallReadabilityMean, DaleChallReadabilityStd, AutomatedReadabilityIndexMean, AutomatedReadabilityIndexStd, ColemanLiauIndexMean, ColemanLiauIndexStd, GunningFogMean, GunningFogStd,SMOG(SimpleMeasureOfGobbledygook)Mean,SMOG(SimpleMeasureOfGobbledygook)Std,LinsearWriteMean,LinsearWriteStd,Class
345318456,124.25,27.52430744,11.55,6.280724481,84.95,22.42203158,9.95,3.247691488,8.65,2.954234249,9.15,4.819491674,10.05,4.914010582,11.233,6.116120584,1.45,0.920597632,7.7,3.233225943,5.95,1.687453703,7.8,3.18747549,0.4,0.8,0.9865,0.058845136,23.575,19.3056436,-60.0125,141.1934014,23.8755,7.167176902,52.645,40.95944915,59.4025,47.75484937,14.065,5.345254437,1.08,2.60798773,5.0835,2.482835627,0
345505380,124.3333333,21.14762923,11.16666667,6.30916441,87.79166667,18.3643204,9.583333333,2.548147475,7.916666667,2.325880956,7.875,5.117881235,8.833333333,5.145116347,12.08416667,5.148341899,1.375,0.563656219,6.347083333,3.117275091,5.833333333,1.518405597,7.5,3.958114029,0.166666667,0.471404521,0.984583333,0.043299265,31.59166667,23.59314725,-118.2579167,173.3678762,25.7525,7.807524282,67.08333333,44.87981791,75.7675,52.61892057,17.20583333,7.454921706,0.533333333,1.768866555,4.694583333,2.935772157,0
345604332,112.3076923,22.82840543,10.23076923,5.235292162,77.76923077,17.90210063,9.076923077,1.384615385,8.307692308,1.726918794,6.923076923,4.122388002,7.846153846,4.166646943,12.59692308,5.258374105,1.153846154,0.360801212,6.653846154,2.626672474,5.615384615,0.923076923,6.384615385,2.896641598,0.230769231,0.421325044,0.993846154,0.021317548,25.94615385,14.63586824,-79.54461538,107.2593679,26.50153846,6.523884928,60.53076923,35.59590263,67.96,41.30774057,18.40461538,6.350951007,0.492307692,1.705403872,4.480769231,2.30063022,0
345735870,123.4,22.78244939,12,5.215361924,83.5,19.7040605,10.5,4.318564576,9.6,3.903844259,7.8,4.142463035,8.75,4.18180583,11.4105,4.630262925,1.15,0.357071421,7.65,3.361919095,6.25,2.299456458,7.2,2.959729717,0.25,0.536190265,0.9735,0.069876677,26.785,16.81062982,-83.975,123.2295464,27.03,5.925356529,59.59,37.1100512,66.79,43.1950533,16.383,6.415328596,1.08,2.60798773,4.925,2.819798752,0
345901028,79.38709677,35.42887233,5.64516129,4.292141259,41.4516129,32.08540891,20.41935484,21.6195464,3.903225806,3.595291174,7.967741935,4.059905219,8.709677419,4.097155177,6.204193548,4.479368312,7.451612903,10.32016101,5.052903226,3.908440984,17.06451613,21.21462594,4.64516129,3.898290668,0.193548387,0.469684509,0.991290323,0.047704868,16.97419355,11.94589868,-16.97580645,88.77631756,33.72612903,21.41852495,104.8870968,120.0657259,37.89548387,23.10553262,12.46612903,12.85955316,0,0,4.782258065,2.48928505,0
345964231,63.6,35.21931288,3.56,2.450795789,18.84,14.70967029,31.24,30.49233346,1.28,1.371714256,8.68,6.86276912,9.08,6.523312042,4.4224,4.032712516,13.12,14.22763508,2.8048,3.246985211,27.8,29.28071037,2.52,3.81701454,0.04,0.195959179,0.9868,0.064666529,15.788,11.57871565,-13.006,85.7258271,40.3516,22.14727481,148.228,134.9684038,31.8168,19.22728493,11.5608,15.14693181,0,0,4.7,3.698648402,0
346094809,48.3125,22.84107799,3.0625,3.287642582,33.625,16.91107256,4.6875,3.156714075,0.65625,1.107061849,6.28125,4.577351684,6.90625,4.639230641,6.798125,1.447801,1.53125,0.828567099,5.15,4.319722213,2.28125,2.695301178,5.5,4.769696007,0.40625,0.784991043,0.98625,0.07655676,5.228125,4.878155029,67.6015625,35.41317985,13.6825,7.029708831,14.04375,8.560554067,13.83875,7.570820113,6.854375,5.163088306,0,0,2.59375,2.359944054,0
346722822,64.44,37.46260002,6.96,8.349754487,41.76,26.51683239,4.56,3.510897321,1.32,2.361694307,9.84,6.607147645,10.56,6.823957796,6.028,1.460120543,1.24,0.585149554,9.3268,6.777400516,2.32,2.167394749,7.88,6.519631891,1.32,2.411970149,1,0,4.88,3.070114004,77.0632,17.7541875,12.146,4.209884559,9.508,5.731242099,9.1288,6.188410019,6.628,4.207125384,0,0,4.85,4.129164564,0
346768232,79.31818182,39.90259318,10.81818182,13.05803954,49.5,29.97081914,5.772727273,4.44084163,0.636363636,0.828221234,12.59090909,8.032089567,13.31818182,7.876237932,5.782272727,2.023799154,1.681818182,0.92374552,10.75772727,8.582745869,3.318181818,1.939689845,8.863636364,7.306880036,2.545454545,3.326577175,0.966363636,0.075410721,6.377272727,3.232495773,70.82409091,20.74675958,11.91545455,5.128076662,11.34090909,8.317268951,9.585,8.137941861,8.133636364,4.691229288,0.4,1.833030278,6.39,5.033840934,0
347709470,83.92307692,40.69674252,4.692307692,2.523264533,59.69230769,31.90703953,4.384615385,2.020603929,0.230769231,0.575639598,14.92307692,8.166173555,15.61538462,7.908500408,5.706153846,1.006421983,1.692307692,0.821313712,11.76923077,8.405060254,2.846153846,1.405820529,12.92307692,7.858963902,1.461538462,1.151279196,0.977692308,0.041166425,6.253846154,3.400365452,72.85538462,22.10320952,9.76,3.396978295,8.661538462,4.703114919,5.953076923,5.248606239,7.414615385,4.117840389,0.492307692,1.705403872,6.711538462,4.755408008,0
348080571,96.2,25.02318925,4.4,1.854723699,69.2,18.18130908,6.4,4.029888336,1,1.264911064,15.2,5.878775383,15.6,5.885575588,5.664,0.739421395,1.4,0.489897949,11.1,1.019803903,4.2,2.039607805,13.6,5.276362383,1.4,1.019803903,0.966,0.068,5.82,1.1070682,73.544,7.170382417,10.758,2.082704012,9.54,4.039108813,10.142,3.184383143,6.962,1.587002205,0,0,5.95,0.509901951,0
348393966,103.5555556,30.0263259,5.666666667,2.211083194,74.11111111,23.14420707,5.222222222,3.010270485,0.222222222,0.628539361,18.33333333,6.480740698,18.66666667,6.582805886,5.733333333,0.874617377,1.444444444,0.496903995,14.22222222,6.083269913,3.111111111,1.662958839,15.11111111,6.903210919,1.888888889,1.728483243,0.961111111,0.08089011,7.455555556,2.932996614,68.41555556,14.79978086,8.97,1.33972634,8.011111111,2.629087059,7.173333333,2.742176751,10.03222222,3.548563959,0,0,8.666666667,3.576543956,0
348885670,93.72727273,41.3171567,6.090909091,5.822441622,64.45454545,29.81263807,6.090909091,3.871916262,0.363636364,0.881396338,16.72727273,7.863504991,16.63636364,7.772594364,5.584545455,1.90225877,1.363636364,0.481045693,13.81818182,7.67010942,3.363636364,1.919882917,13.18181818,6.102431435,2,2.174229226,0.934545455,0.09957762,4.945454545,4.301450841,82.80090909,29.07885156,9.408181818,4.033421327,10.84545455,8.004017586,7.503636364,5.106499019,7.299090909,3.575831638,0,0,6.568181818,3.83330339,0
349152819,96.35294118,38.35276074,8.705882353,12.41329793,63.82352941,29.33826109,6.882352941,5.809549471,0.529411765,0.915079364,16.41176471,7.631658701,16.35294118,7.003706384,5.772352941,0.888180754,1.117647059,0.32218974,15.44117647,7.36023168,4.176470588,3.665985047,12.47058824,6.748574116,2.470588235,3.516643571,0.983529412,0.036932558,6.982352941,3.408852713,72.32882353,16.5639445,10.58235294,2.630275158,10.02352941,2.465891895,7.695882353,2.585636931,9.560588235,4.003334596,0.376470588,1.505882353,9.098235294,5.00537856,0
349485739,80.68181818,33.4737161,4.045454545,2.513188354,58.5,24.55929744,4.409090909,1.874690057,0.363636364,0.771389216,13.36363636,6.526487671,13.95454545,6.588400777,6.321363636,1.420768983,1.090909091,0.287479787,13.31818182,6.560116155,2.590909091,1.403213549,11.40909091,5.621865518,1.136363636,1.1399942,0.984090909,0.040749689,6.377272727,2.73561225,73.24909091,15.34869936,9.540454545,2.499664482,9.418181818,3.49631447,8.916363636,3.692287472,8.600454545,4.170353677,0,0,7.068181818,3.853261471,0
349612774,87.41666667,37.23228512,6.083333333,3.402409277,61.875,29.20232939,5.791666667,3.685321861,0.5,0.957427108,13.16666667,7.278201854,14.16666667,7.278201854,6.569166667,2.064902977,1.333333333,0.471404521,11.85416667,7.231987922,3.291666667,2.071214754,11.04166667,7.167514485,1.041666667,0.789470638,0.9925,0.025041632,8.295833333,6.470154504,56.21541667,48.92314389,13.07708333,7.120696641,12.96666667,12.45049084,12.57458333,12.63157419,11.18166667,7.721748327,0,0,6.375,3.624281538,0
349796717,74.24137931,41.26170068,7.310344828,6.5289987,48.93103448,29.02547161,6.344827586,9.731838477,1,1.531282987,10.65517241,8.167538194,11.44827586,8.041213697,6.184827586,1.736932732,1.586206897,0.616846339,8.086206897,6.333415167,3.931034483,8.295952625,7.896551724,7.116492877,0.689655172,0.875074313,0.95,0.183829006,7.75862069,4.602511851,55.59517241,33.0764264,18.46413793,4.909102395,12.56551724,14.76821554,11.25103448,11.04675716,10.22655172,6.313032648,0,0,5.060344828,3.559019124,0
351082052,77.55555556,38.75166265,3.611111111,3.164716749,56.5,26.21333418,4.055555556,3.423322334,0.444444444,1.165343165,12.94444444,7.44216383,13.77777778,7.153519379,6.114444444,0.849504576,1.555555556,0.684934889,9.509444444,5.926340891,2.388888889,2.003854311,11.11111111,5.858411701,0.5,0.600925213,0.991111111,0.026010444,6.088888889,2.782462716,69.59,12.15320808,17.91444444,1.882625891,6.522222222,4.101700942,6.768888889,3.891874568,8.452777778,3.827624453,0.538888889,2.221895809,5.448888889,3.970442025,0
351277773,66.56,34.93775036,5.32,3.307204257,46.52,26.86279211,4.4,4.963869458,0.4,0.848528137,9.92,6.572183808,10.76,6.616827034,5.9172,1.65337115,1.56,0.637495098,8.24,6.634937829,2.52,2.451448551,7.76,6.021826965,0.64,0.932952303,0.974,0.090686272,7.316,5.074302317,59.2488,37.39024507,21.5168,10.00335572,13.144,17.70446452,11.4648,13.1586483,7.3408,4.581357807,0,0,4.98,4.277218722,0
351621566,55.27272727,36.10865147,3.909090909,3.703917961,38.63636364,25.35304438,3.545454545,3.55127727,1,1.758098146,8.181818182,7.51747276,9.181818182,7.51747276,6.728181818,1.437028615,1.545454545,0.497929598,6.772727273,6.846909178,2.090909091,1.781447086,6.909090909,7.11534252,0.545454545,1.437398936,0.981818182,0.057495957,7.409090909,6.39907018,58.31090909,44.94036886,20.48272727,6.472679775,15.65454545,19.10223041,12.63,15.73930402,10.44818182,7.528870274,0,0,5.045454545,4.53498795,0
351668219,67.88,39.73846499,8.24,12.80712302,44.88,25.85702226,4.84,4.830569325,0.72,1.28124939,9.2,6.125357132,9.64,5.972470176,7.0204,2.916868842,1.36,0.557135531,7.3068,4.916241426,2.32,2.411970149,6.68,5.676054968,0.88,2.354909765,0.9968,0.015676734,9.544,7.284892861,39.9172,54.79428857,16.746,6.741187432,15.98,15.58558308,15.1472,16.09134986,9.768,7.875901472,0,0,3.98,2.968939204,0
352822866,61.85294118,35.63139095,3.823529412,5.404086625,44.35294118,25.83645663,3.558823529,4.558064453,0.647058824,1.257503431,9.470588235,5.694348561,10.02941176,5.711110401,5.716764706,1.107109965,1.294117647,0.665512265,8.551470588,5.086667771,2.058823529,2.195465601,8,5.729182264,0.352941176,0.636273754,0.992058824,0.025642269,5.417647059,4.006646727,71.79676471,25.624251,12.62176471,6.09553186,8.438235294,7.898697387,8.64,8.082961018,7.040294118,4.894302501,0.091176471,0.523768947,4.597941176,3.444252484,0
352883693,49.22222222,33.72034591,3.888888889,2.997941681,33.66666667,23.85604978,2.777777778,2.739739557,0.333333333,0.942809042,8.555555556,5.717635702,9,5.754225501,5.162222222,1.402622764,1.333333333,0.666666667,7.944444444,6.066503864,2,2,6.666666667,5.354126135,0.555555556,0.684934889,0.988888889,0.031426968,3.233333333,3.760319135,87.12,20.36819798,7.335555556,5.762713695,4.511111111,5.441699989,4.541111111,5.384798448,4.767777778,3.760832584,0,0,4.166666667,3.822448314,0
352944559,35.61538462,22.72084255,3.961538462,3.143745552,23,16.29535092,2.730769231,3.095377351,0.346153846,0.874524385,5.576923077,3.670810819,6.153846154,3.748767056,5.400769231,1.440624659,1.076923077,0.266469355,5.788461538,3.503221256,1.384615385,1.416304049,4.307692308,3.472631797,0.769230769,0.638971066,1,0,3.007692308,3.982743843,83.78423077,27.96116403,10.14730769,6.133127924,4.980769231,8.09610634,3.995,8.298343324,5.205769231,5.152064689,0,0,2.413461538,2.055646899,0
353176266,57.35,27.66816763,4.1,6.402343321,40.85,18.6822777,2.55,2.673480877,0.65,0.963068014,9.2,5.564171097,10.1,5.602677931,5.929,1.354543835,1.25,0.433012702,8.675,5.66629288,1.45,1.283549765,8.45,5.89470101,0.55,0.668954408,0.9835,0.071921833,4.425,4.406344857,80.395,32.51175887,11.6415,9.100190259,9.36,12.70796601,9.712,11.36296335,6.1555,4.873080622,0,0,4.3,3.164845968,0
353838344,39.77272727,23.49261357,3.181818182,3.459326835,28.45454545,18.57106075,1.590909091,1.898781689,0.5,1.339945725,6.045454545,4.290340871,6.954545455,4.25843839,6.086363636,1.76866037,1.181818182,0.489560437,6.310454545,3.854976096,0.727272727,0.913625056,5.318181818,3.521187347,0.318181818,0.465770489,1,0,4.086363636,8.328499562,76.96181818,60.92363712,11.49818182,8.227024557,6.904545455,11.30846333,6.390454545,12.04145736,4.373636364,4.462820699,0,0,2.534090909,1.966040458,0
354010930,70.16666667,34.49355817,5.5,3.201562119,49.5,24.87803583,4.166666667,3.53160335,0.5,0.763762616,10.5,5.909032634,11.5,5.909032634,6.353333333,1.923769448,1,0,11.5,5.909032634,2.166666667,1.950783318,9.5,4.991659711,1,1.414213562,1,0,7.333333333,5.8397108,60,45.98093663,11.30166667,4.118419667,10.43333333,6.724994837,11.195,7.475448147,8.165,2.669355415,0,0,4.958333333,2.329237477,0
354206693,48.2173913,23.84179108,3.608695652,3.37173843,33.91304348,17.66823001,3.565217391,2.825752489,0.913043478,1.138765292,6.217391304,4.605823551,6.956521739,4.685576953,6.950434783,2.233983532,1.130434783,0.336781161,6.543478261,4.770637191,1.608695652,1.762881298,5.434782609,4.342170234,0.652173913,0.633053034,0.986521739,0.043897974,7.591304348,5.853792011,52.0926087,44.6452175,13.40173913,6.773727798,14.99565217,12.01591257,15.16826087,12.18625122,9.942173913,6.044335441,0,0,3.25,1.705171163,0
355393230,54.2173913,35.5845063,6.826086957,6.183091769,35.39130435,26.26245316,3.652173913,3.087262691,0.304347826,0.620993776,8.043478261,7.213985577,8.739130435,7.21241316,6.872608696,2.64467836,1.217391304,0.507039295,7.717391304,6.370492587,1.913043478,2.652530268,5.47826087,5.452319532,1.260869565,1.389944988,1,0,7.87826087,9.258695397,53.20347826,69.60990344,16.79347826,12.87037198,19.76521739,28.551199,15.18478261,13.82192457,6.403913043,5.137095897,0,0,3.913043478,3.76670821,0
355830456,70.61111111,47.8204267,10.83333333,4.272001873,41.66666667,34.74350459,7.277777778,4.343648691,1.388888889,1.532568247,9.444444444,7.903741886,10.38888889,7.952210656,5.957777778,0.922620396,1.333333333,0.577350269,7.462777778,4.811756212,3.611111111,2.669558617,5.611111111,6.308185942,1.611111111,0.75563725,0.995,0.020615528,5.977777778,3.848023382,66.26111111,26.13704478,18.04055556,7.12099749,13.98333333,10.52891521,12.18888889,8.7621889,7.212222222,4.783099362,0,0,4.263888889,3.736524141,0
356241682,80.45454545,53.07004571,8.636363636,3.255002507,52,43.26661531,5.727272727,2.831347546,1.454545455,1.157083824,12.63636364,9.286086633,13.63636364,9.286086633,4.943636364,0.736382716,1.272727273,0.616575453,11.33363636,8.58574111,3.363636364,2.672170628,9.636363636,9.315409787,1.636363636,0.771389216,0.969090909,0.054681648,3.1,5.230678732,93.46181818,25.07267829,15.08636364,5.729291996,8.954545455,3.118380593,6.158181818,4.36577353,5.655454545,4.077493356,0,0,5.75,5.398863517,0
357747403,39.19047619,29.04941446,9.238095238,4.43905569,19.61904762,25.064633,4.047619048,1.675486865,1.285714286,1.030157507,5,4.730851126,5.952380952,4.613398608,5.587619048,2.50632325,1.19047619,0.587087048,4.904761905,3.06912058,1.333333333,0.890870806,2.857142857,4.268218255,1.571428571,0.954758936,1,0,4.90952381,5.086200262,69.05333333,36.59900927,20.70714286,11.7453274,11.68095238,16.79502815,8.429047619,12.05921695,6.650952381,6.641702238,0,0,2.321428571,2.248204121,0
357897494,83.66666667,39.49120859,9.75,4.254899137,52.75,30.38674327,8.75,4.254899137,1.291666667,1.368672309,11.125,6.540339568,11.91666667,6.607550395,6.08125,1.367065935,2.041666667,1.019769854,7.030833333,5.260753999,5.333333333,3.324989557,7.25,5.34828633,1.458333333,0.999131567,0.990833333,0.024650332,6.633333333,3.651787994,63.45375,21.95856701,16.06583333,7.263064044,15.17916667,7.321485458,12.8475,7.440550635,7.95625,4.550774488,0.404166667,1.938315241,5.04875,4.04084285,0
357947223,65.63636364,30.80812386,3.636363636,2.532434232,45.81818182,24.14659088,5.272727273,2.799055331,1.636363636,2.012358511,9.272727273,7.059370421,10.09090909,7.191592888,7.416363636,1.408489021,1,0,10.09090909,7.191592888,2.090909091,1.729663417,9,7.336087637,0.545454545,0.78202957,0.981818182,0.057495957,9.009090909,7.520934969,48.25090909,57.83804779,14.40181818,8.429169935,17.09090909,15.28650353,16.65363636,14.06937763,9.381818182,10.96452032,0,0,5.136363636,3.766424088,0
358748061,41.81818182,13.00921479,0.818181818,1.526623239,31.81818182,10.60718609,3.272727273,2.259964163,0.272727273,0.445361771,5.636363636,2.672170628,6.636363636,2.672170628,7.316363636,1.331037003,1.272727273,0.616575453,6.120909091,2.587524105,1.363636364,2.012358511,6.272727273,2.631657241,0.090909091,0.287479787,1,0,3.518181818,3.039084247,80.67727273,20.71881933,11.94454545,4.374077282,12.76363636,15.07757352,10.07818182,4.383709136,8.143636364,4.530547374,0,0,2.954545455,1.405420439,0
358976197,48.41176471,23.81314225,2.882352941,3.323399269,35,17.16357292,3.941176471,2.68920693,1.058823529,1.211250605,5.529411765,3.957385457,6.411764706,4.03016309,7.121764706,1.855295237,1.058823529,0.235294118,6.058823529,3.780298591,1.647058824,1.369464321,5.529411765,3.851930716,0.235294118,0.424182503,0.988235294,0.047058824,9.470588235,6.96290716,38.59235294,52.34882049,16.35705882,9.455254229,19.42941176,15.32805059,18.83588235,12.99910859,8.077647059,7.949636713,0,0,3.264705882,2.407815993,0
359219562,79.9047619,38.19112931,8,6.831300511,54.80952381,27.44278732,6.095238095,3.584420813,1.285714286,1.075389504,9.714285714,5.274763431,10.66666667,5.348193583,6.995714286,2.000372754,1.333333333,0.776643163,8.968095238,4.910084491,2.80952381,2.402757297,7.333333333,5.751466342,0.761904762,0.867660341,1,0,8.223809524,6.181994189,49.90952381,43.04076423,15.22571429,3.888469611,15.05714286,8.751411937,15.95761905,9.173217177,10.85809524,7.918627598,0.147619048,0.66017245,4.613333333,3.135584298,0
359572064,96.07692308,27.5805437,12.76923077,6.851769521,60.23076923,19.88100696,9.461538462,3.078845553,2,1.709700829,11.61538462,4.860175077,12.53846154,5.017130418,6.955384615,2.135108051,1.230769231,0.575639598,10.67923077,3.552261385,4.615384615,1.688807569,7.692307692,5.04418348,1.769230769,1.186711432,0.972307692,0.054653291,8.215384615,2.851678629,53.71307692,21.16094421,17.39538462,8.113973337,19.95384615,13.48575404,19.78,11.39650554,7.873846154,3.220163728,0,0,5.519230769,2.34410377,0
360103083,71,43.21342384,7.1,6.774215822,47.3,25.48744789,7.1,5.521775077,1.6,1.562049935,7.9,5.872818744,8.5,5.42678542,6.791,3.50327404,1.3,0.9,7.375,5.120119628,3.2,3.18747549,5.6,3.903844259,0.5,0.670820393,0.977,0.03579106,14.37,9.474602894,4.946,73.13674633,21.608,15.49430979,26.64,22.67647239,23.801,15.89082657,13.461,10.65145572,0,0,4.5,3.314739809,0
360135769,94.93548387,34.88592977,10.09677419,7.149801886,62.93548387,24.09113809,8.709677419,4.364028535,1.709677419,1.835027439,11.48387097,6.252075618,12.38709677,6.276825884,6.838709677,1.260808092,1.548387097,0.711142183,9.155483871,5.265579549,4.483870968,2.353733722,8.741935484,5.841827718,0.967741935,1.031249507,0.970967742,0.055320465,9.258064516,4.76890291,44.63903226,34.59946908,16.86,6.362009725,19.27096774,10.31657587,19.25677419,9.411580851,9.533225806,4.563479422,0.751612903,2.337474646,5.447419355,3.46945749,0
360270369,63.91304348,39.29366919,7.391304348,16.568013,41.30434783,24.8761013,4.043478261,4.267962154,1.043478261,1.267598238,10.13043478,6.667926787,10.73913043,6.455313897,6.806086957,2.122418102,1.695652174,0.905768115,6.829565217,4.309561138,2.130434783,2.152942331,8.086956522,5.523963948,1.391304348,3.523080797,0.979130435,0.057401185,3.713043478,5.304903748,80.63,37.69454822,12.02782609,3.780803867,7.417391304,6.702150996,6.245217391,7.258328871,6.777391304,7.999151704,1,2.606346769,3.070869565,2.466835524,0
361417698,97.80952381,35.32652996,11.76190476,17.51979768,63.33333333,33.03149051,5.571428571,2.479850775,1.285714286,1.694328274,15.85714286,6.54133898,16.57142857,6.506929849,5.277142857,0.92135068,2.095238095,0.920908553,9.627142857,5.972565169,3.714285714,1.880801682,11.85714286,7.079720968,2.476190476,4.238362752,0.966666667,0.050458218,5.166666667,3.085655496,76.58380952,15.23025982,17.76190476,3.035199247,8.219047619,4.967956277,7.681904762,4.988662975,6.66047619,3.435545948,1.304761905,2.707041293,5.242380952,3.677110544,0
361930545,76.828125,42.44980664,11.265625,13.94995765,45.65625,28.0129539,7.03125,4.458029098,1.8125,2.235194343,11.0625,7.081831949,11.4375,6.939188984,5.63265625,1.878778894,2.015625,1.218249096,7.10703125,5.36282041,4.453125,3.081850537,7.46875,6.038855309,1.5625,2.505462782,0.98796875,0.036193045,6.9828125,7.900643856,59.41109375,57.6706761,16.5646875,5.682162597,12.55,8.97686262,11.51484375,9.299059595,7.806875,7.043038423,0.921875,2.291456193,4.238125,3.388852993,0
361943550,57.34177215,37.77812845,5.82278481,5.559253874,37.67088608,25.86024833,5.35443038,4.179631062,0.898734177,1.23856733,7.594936709,6.510981935,8.202531646,6.246780937,5.617974684,2.163846423,1.481012658,0.672436708,6.107594937,5.280766682,2.810126582,2.199401238,5.949367089,5.414230509,0.734177215,1.039825457,0.983670886,0.069939888,8.711392405,7.961234993,45.44151899,60.57253204,19.13696203,14.53582283,18.6721519,20.0245099,15.54708861,14.4254988,8.334556962,8.365915901,0.039240506,0.346562768,3.666708861,3.052532346,0
362675330,51.15384615,35.27804464,7.692307692,7.646530456,31.87179487,24.82159883,4.179487179,3.862188797,0.820512821,1.195542895,6.58974359,6.007337175,7.538461538,5.930564698,6.712051282,3.031697654,1.102564103,0.378585207,6.863333333,5.075230111,2,2.275848672,4.743589744,5.405210917,1.58974359,2.467407533,0.992307692,0.027029095,7.038461538,6.574020952,56.73076923,50.25482099,17.69153846,14.08496972,18.04615385,20.60436655,15.91871795,15.2300082,9.459487179,7.36024524,0,0,3.391025641,2.830010234,0
363309757,69.42857143,37.06647366,5.633928571,5.271208075,47.83928571,25.73267572,5.455357143,4.352520602,0.883928571,1.579701236,9.616071429,6.09192313,10.30357143,5.96693162,6.998303571,2.237766699,1.714285714,0.948952161,7.126785714,4.535378236,3.125,2.642796814,7.651785714,5.119482782,0.598214286,0.749521531,0.980357143,0.104897302,6.991071429,4.83664497,60.02428571,35.73612962,13.50964286,6.367944265,13.41160714,10.69909664,12.888125,9.748186602,9.276071429,6.33953924,0.178571429,1.333994309,4.682232143,3.217607727,0
363613274,45.75,46.05635135,2,1.224744871,35.5,36.82729966,1,1,0.5,0.866025404,6.75,7.790218225,7.75,7.790218225,5.9375,1.15074704,1,0,7.75,7.790218225,0.5,0.866025404,6.5,7.889866919,0.25,0.433012702,1,0,3.65,5.3223585,82.645,25.44369617,10.1825,7.113418218,7.275,3.391441434,0.72,13.47583578,5.005,6.386710812,0,0,4.375,6.46505027,0
363991245,52.11627907,37.9358144,4.604651163,10.02123219,35.11627907,25.79815146,3.093023256,3.607575708,1.465116279,2.127875206,7.837209302,6.674945283,8.744186047,6.68595551,6.062325581,2.193879263,1.302325581,0.507381959,7.42255814,6.143669494,1.511627907,1.619246064,6.604651163,6.236201642,0.697674419,1.592641271,0.989302326,0.036877885,5.28372093,5.383779697,71.75325581,37.6041375,13.28162791,7.060246036,10.72790698,12.07976062,9.213255814,12.50662498,6.94627907,7.381120802,0,0,4.168604651,4.047939804,0
364100451,73.48958333,40.35002963,6.416666667,4.876958296,48.72916667,28.31021575,5.3125,3.919269968,1.854166667,3.088888577,11.17708333,7.447027919,11.98958333,7.533943732,6.1515625,1.519146778,1.53125,0.803029745,8.038020833,4.230416799,2.916666667,2.343726852,8.333333333,6.185781187,1.125,1.101608672,0.993333333,0.027067303,5.58125,4.725822514,71.03572917,31.38097492,12.4015625,5.70470079,9.654166667,7.775615151,9.652604167,8.226553709,7.286875,4.547809984,0.490625,1.392919455,4.730208333,3.387173717,0
364271755,99.375,35.34168042,7.15,5.516112762,66.425,23.73803646,7.525,4.189197417,2.9,4.091454509,15.375,7.279036681,16.2,7.423610981,6.923,2.378180187,1.85,0.792148976,9.821,5.380374894,4.425,2.528710146,11.85,5.3923557,1.175,1.180836568,0.98975,0.033873847,5.7425,3.997242018,71.6735,27.62200695,10.49075,3.261099038,10.63,7.576945295,10.92525,7.804225134,8.052,3.900169996,0.94,1.905492062,5.233,3.645862175,0
364275391,93.43589744,37.15511137,7.179487179,5.305400224,62.46153846,25.18021828,7.564102564,3.934038649,2.256410256,3.287255489,13.97435897,7.087320493,14.74358974,7.080916748,6.484615385,1.398023965,1.923076923,0.764085355,8.325384615,4.561013633,4.205128205,2.185963229,10.87179487,5.875544654,1.179487179,0.957341267,0.986666667,0.037164453,6.553846154,5.209992675,65.61384615,36.56394284,11.71769231,4.990454715,11.24871795,7.60943651,11.27871795,7.235331467,9.071794872,6.126605649,0.623076923,1.682102094,5.454871795,3.679456392,0
364732824,98.70512821,43.93354801,9.346153846,5.59722212,63.57692308,32.3682811,11.11538462,13.17630037,1.115384615,1.585032308,13.55128205,7.657152574,14.08974359,7.326078983,6.875384615,2.140459268,2.948717949,6.981472616,9.944615385,7.461233089,6.858974359,12.70243704,8.371794872,6.218477376,1.025641026,0.846930491,0.971794872,0.069017716,8.091025641,4.596798939,55.32448718,32.04659595,16.0324359,6.605551897,22.62820513,31.52789118,16.34025641,9.022289631,8.471153846,5.078643565,0.252564103,1.353601498,6.341282051,4.436131185,0
365257073,59.2,35.02862322,6.622222222,7.261125988,38.91111111,23.1601403,4.111111111,3.478327965,0.555555556,1.274633813,9,5.32081865,9.777777778,5.257328806,5.895777778,1.552817495,1.422222222,0.714574897,7.290666667,3.405933646,2.4,1.9708994,5.755555556,4.169495336,0.8,1.240071683,0.960222222,0.156169266,4.56,3.276678535,77.01444444,22.27293909,12.148,5.372744219,8.984444444,7.818097397,8.383333333,7.041346462,5.862888889,3.587118077,0.337777778,1.586511041,4.002,2.777929365,0
